industry,query_idx,engine,n,S_obs,Q1,chao2,rising,A1,A5,A10,A15,share5,share10,share15,a1_over_a5
ecommerce,8,gpt-5.6-luna,15,3,0,3.0,False,1.53,2.53,2.9,3.0,0.843,0.968,1.0,0.606
saas,1,grok-4.5,15,4,0,4.0,False,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0
saas,1,mistral-large,15,6,0,6.0,False,5.2,5.74,5.98,6.0,0.956,0.996,1.0,0.907
healthtech,2,gpt-5.6-luna,15,4,0,4.0,False,3.33,3.92,4.0,4.0,0.979,1.0,1.0,0.851
consulting,5,grok-4.5,15,9,1,9.0,True,8.0,8.33,8.67,9.0,0.926,0.963,1.0,0.96
fintech,4,grok-4.5,15,7,0,7.0,False,5.67,6.56,6.9,7.0,0.938,0.986,1.0,0.863
ecommerce,6,mistral-large,15,4,1,4.47,True,1.87,2.9,3.57,4.0,0.65,0.8,0.896,0.643
saas,9,gemini-3.7-flash,15,4,2,4.93,True,2.13,2.67,3.33,4.0,0.541,0.676,0.811,0.8
consulting,0,claude-sonnet-5,15,9,1,9.0,True,8.0,8.33,8.67,9.0,0.926,0.963,1.0,0.96
ecommerce,7,mistral-large,15,3,0,3.0,False,2.4,2.96,3.0,3.0,0.986,1.0,1.0,0.811
healthtech,3,gpt-5.6-luna,15,2,0,2.0,False,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
healthtech,2,mistral-large,15,4,0,4.0,False,3.47,3.98,4.0,4.0,0.995,1.0,1.0,0.871
fintech,4,sonar,15,5,0,5.0,False,4.07,4.57,4.9,5.0,0.914,0.981,1.0,0.89
fintech,3,grok-4.5,15,5,0,5.0,False,2.87,4.3,4.88,5.0,0.86,0.977,1.0,0.667
healthtech,7,grok-4.5,15,3,0,3.0,False,1.53,2.53,2.9,3.0,0.843,0.968,1.0,0.606
saas,8,gemini-3.7-flash,15,9,3,13.2,True,4.2,6.57,7.9,9.0,0.498,0.599,0.682,0.64
fintech,9,grok-4.5,15,8,3,12.2,True,3.6,5.42,6.9,8.0,0.444,0.566,0.656,0.665
saas,7,claude-sonnet-5,15,4,0,4.0,False,3.6,4.0,4.0,4.0,1.0,1.0,1.0,0.9
fintech,4,mistral-large,15,8,0,8.0,False,6.27,7.73,7.98,8.0,0.966,0.997,1.0,0.811
healthtech,7,gpt-5.6-luna,15,4,2,5.87,True,1.27,2.24,3.24,4.0,0.381,0.552,0.682,0.566
consulting,9,sonar,15,5,3,7.8,True,2.2,3.0,4.0,5.0,0.385,0.513,0.641,0.733
ecommerce,9,sonar,15,3,0,3.0,False,2.27,2.98,3.0,3.0,0.994,1.0,1.0,0.76
consulting,4,mistral-large,15,14,2,14.93,True,8.8,12.3,13.33,14.0,0.823,0.893,0.938,0.716
consulting,7,gemini-3.7-flash,15,10,0,10.0,False,7.33,9.38,9.9,10.0,0.938,0.99,1.0,0.782
saas,7,grok-4.5,15,8,2,8.93,True,4.4,6.36,7.31,8.0,0.712,0.818,0.896,0.692
consulting,0,gpt-5.6-luna,15,10,1,10.0,True,8.33,9.33,9.67,10.0,0.933,0.967,1.0,0.893
